Score,Non- Hispanic white,Black,Hispanic,Asian
0,0.01,0.07,0.01,0.00
0.5,0.26,1.19,0.47,0.13
1,1.16,5.33,2.22,0.88
1.5,1.43,6.47,2.74,1.07
2,1.80,7.89,3.49,1.32
2.5,2.09,9.27,4.04,1.51
3,2.55,11.20,5.02,1.83
3.5,2.96,12.82,5.77,2.20
4,3.39,14.58,6.60,2.48
4.5,3.54,15.16,6.92,2.58
5,4.19,17.72,8.22,3.10
5.5,4.72,19.81,9.31,3.49
6,5.28,21.72,10.18,3.90
6.5,5.56,22.93,10.80,4.08
7,6.11,24.69,11.94,4.40
7.5,6.34,25.51,12.38,4.72
8,6.81,26.95,13.18,5.02
8.5,7.02,27.55,13.60,5.14
9,7.34,28.59,14.09,5.38
9.5,7.60,29.38,14.65,5.53
10,7.95,30.45,15.20,5.74
10.5,8.20,31.16,15.69,5.84
11,8.62,32.29,16.38,6.25
11.5,8.94,33.33,16.92,6.46
12,9.56,35.11,18.03,6.95
12.5,9.92,36.07,18.58,7.29
13,10.40,37.20,19.36,7.61
13.5,10.76,38.21,19.95,7.97
14,11.41,39.79,21.10,8.40
14.5,11.75,40.75,21.76,8.68
15,12.29,42.07,22.62,9.09
15.5,12.61,42.91,23.21,9.45
16,13.09,44.04,24.02,9.75
16.5,13.43,44.88,24.69,10.05
17,13.84,45.83,25.49,10.32
17.5,14.13,46.58,25.97,10.53
18,14.56,47.40,26.62,10.96
18.5,14.84,48.07,27.10,11.11
19,15.24,48.76,27.78,11.51
19.5,15.50,49.29,28.21,11.80
20,16.54,53.05,30.31,12.37
20.5,16.88,54.04,30.93,12.68
21,17.37,55.24,31.90,13.02
21.5,17.64,55.90,32.31,13.24
22,18.07,56.76,33.01,13.60
22.5,18.38,57.37,33.55,13.90
23,18.77,58.20,34.24,14.19
23.5,19.13,58.86,35.06,14.41
24,19.73,60.00,36.19,14.95
24.5,20.09,60.62,36.80,15.20
25,20.54,61.45,37.68,15.51
25.5,20.84,62.08,38.17,15.72
26,21.27,62.93,38.95,16.18
26.5,21.67,63.54,39.65,16.62
27,22.27,64.39,40.60,17.10
27.5,22.62,65.00,41.28,17.40
28,23.19,65.85,42.21,17.90
28.5,23.55,66.41,42.93,18.27
29,24.28,67.28,44.01,18.93
29.5,24.71,67.65,44.54,19.16
30,25.24,68.37,45.32,19.73
30.5,25.59,68.85,45.74,20.18
31,26.22,69.59,46.69,21.00
31.5,26.58,69.98,47.24,21.39
32,27.07,70.60,48.05,21.81
32.5,27.48,71.06,48.74,22.37
33,28.00,71.61,49.35,22.92
33.5,28.40,72.14,49.96,23.32
34,28.94,72.67,50.64,23.95
34.5,29.43,73.15,51.28,24.34
35,30.16,73.95,52.20,25.13
35.5,30.42,74.20,52.64,25.48
36,31.17,74.83,53.57,26.16
36.5,31.50,75.11,53.96,26.50
37,32.27,75.87,55.04,27.39
37.5,32.61,76.16,55.38,27.69
38,33.36,76.88,56.39,28.54
38.5,33.66,77.19,56.71,28.81
39,34.32,77.72,57.55,29.66
39.5,34.56,77.95,57.83,29.87
40,35.09,78.32,58.37,30.37
40.5,35.48,78.75,58.79,30.85
41,36.06,79.28,59.47,31.54
41.5,36.33,79.49,59.83,31.86
42,36.97,80.06,60.60,32.52
42.5,37.35,80.43,61.06,32.95
43,37.97,80.95,61.77,33.54
43.5,38.36,81.22,62.19,34.08
44,38.98,81.76,63.03,34.85
44.5,39.54,82.11,63.58,35.46
45,40.03,82.48,64.22,36.03
45.5,40.56,82.85,64.77,36.69
46,41.13,83.23,65.37,37.36
46.5,41.50,83.42,65.71,37.92
47,42.26,83.87,66.47,38.80
47.5,42.59,84.08,66.81,39.33
48,43.37,84.46,67.50,40.14
48.5,43.77,84.66,67.87,40.58
49,44.24,84.94,68.33,41.11
49.5,44.72,85.20,68.78,41.65
50,45.33,85.56,69.38,42.38
50.5,45.63,85.75,69.68,42.78
51,46.19,86.05,70.26,43.63
51.5,46.62,86.24,70.66,44.12
52,47.20,86.46,71.23,44.99
52.5,47.60,86.69,71.73,45.63
53,48.16,86.99,72.28,46.50
53.5,48.66,87.27,72.71,47.31
54,49.29,87.56,73.29,48.22
54.5,49.59,87.70,73.60,48.75
55,50.25,88.06,74.20,49.75
55.5,50.62,88.28,74.57,50.16
56,51.21,88.53,75.14,50.87
56.5,51.58,88.72,75.53,51.46
57,52.19,88.94,76.13,52.31
57.5,52.55,89.05,76.46,52.81
58,53.17,89.25,77.02,53.48
58.5,53.59,89.41,77.40,54.05
59,54.21,89.68,77.88,54.89
59.5,54.65,89.85,78.24,55.45
60,55.32,90.16,78.79,56.40
60.5,55.64,90.28,79.10,56.92
61,56.15,90.49,79.47,57.42
61.5,56.65,90.67,79.82,58.05
62,57.15,90.86,80.23,58.70
62.5,57.69,91.06,80.63,59.66
63,58.23,91.26,80.90,60.28
63.5,58.82,91.48,81.34,61.07
64,59.43,91.65,81.80,61.86
64.5,59.71,91.77,82.04,62.22
65,60.29,91.91,82.47,63.02
65.5,60.66,92.03,82.65,63.48
66,61.26,92.18,83.04,64.13
66.5,61.59,92.28,83.36,64.77
67,61.91,92.36,83.56,65.05
67.5,62.61,92.62,84.07,66.07
68,62.84,92.69,84.25,66.33
68.5,63.15,92.79,84.45,66.70
69,63.86,92.96,84.89,67.50
69.5,64.30,93.06,85.16,68.00
70,64.71,93.19,85.43,68.52
70.5,65.15,93.34,85.70,68.92
71,65.50,93.44,85.94,69.32
71.5,65.82,93.54,86.15,69.68
72,66.57,93.71,86.59,70.58
73,67.42,93.98,87.01,71.73
73.5,67.80,94.06,87.20,72.01
74,68.23,94.20,87.40,72.49
74.5,68.99,94.39,87.83,73.20
75,69.68,94.60,88.21,73.78
75.5,70.15,94.72,88.46,74.32
76,70.58,94.82,88.67,74.73
76.5,71.14,94.98,88.94,75.25
77,72.23,95.26,89.60,76.81
78,73.26,95.47,90.09,77.69
78.5,73.70,95.53,90.26,78.06
79,74.34,95.65,90.53,78.54
79.5,74.78,95.74,90.78,79.03
80,75.34,95.90,91.08,79.58
80.5,75.95,96.11,91.36,80.09
81,77.02,96.30,91.79,81.04
81.5,77.50,96.39,92.02,81.54
82,77.97,96.48,92.21,81.99
82.5,78.49,96.60,92.43,82.54
83,79.02,96.71,92.64,82.99
83.5,79.74,96.85,92.91,83.53
84,80.59,97.00,93.30,84.29
84.5,81.06,97.10,93.52,84.61
85,81.54,97.21,93.69,84.98
85.5,82.51,97.42,94.11,85.71
86,83.07,97.51,94.28,86.08
86.5,83.75,97.64,94.62,86.72
87,84.16,97.73,94.74,87.02
87.5,84.97,97.89,95.03,87.67
88,85.37,97.93,95.19,88.02
88.5,86.18,98.05,95.46,88.67
89,86.62,98.11,95.58,89.10
89.5,87.55,98.24,95.88,89.82
90,88.04,98.31,96.05,90.18
90.5,88.51,98.35,96.24,90.59
91,88.81,98.38,96.32,90.88
91.5,89.28,98.44,96.46,91.27
92,89.98,98.57,96.71,91.76
93,90.97,98.73,97.03,92.56
93.5,91.82,98.85,97.35,93.19
94,92.52,98.97,97.57,93.69
94.5,93.68,99.12,97.93,94.53
95,94.57,99.21,98.21,95.20
95.5,94.92,99.25,98.34,95.46
96,95.85,99.38,98.64,96.28
96.5,96.11,99.42,98.71,96.50
97,96.77,99.51,98.92,97.12
97.5,97.69,99.65,99.24,97.93
98,98.94,99.89,99.66,98.94
98.5,99.62,99.95,99.88,99.61
99,99.91,99.99,99.98,99.89
99.5,99.98,100.00,100.00,99.94
100,100.00,100.00,100.00,100.00
